2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_6  (window=6)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_12  (window=12)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:287 | Added: TEC_diff1
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:296 | Added: TEC_gradient
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag1  (lag=1)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag2  (lag=2)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag3  (lag=3)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_3  (window=3)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_6  (window=6)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_12  (window=12)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_3  (window=3)
